model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,GW,horizon
KNeighborsDist_FULL,,mean_absolute_error,,0.8625385761260986,,0.8625385761260986,1,True,6,1,4
LightGBMXT,-1.6371733254778664,mean_absolute_error,0.5266404151916504,214.35062313079834,0.5266404151916504,214.35062313079834,1,True,3,1,5
WeightedEnsemble_L2,-1.6371733254778664,mean_absolute_error,0.5273323059082031,215.8689706325531,0.0006918907165527344,1.5183475017547607,2,True,4,1,5
KNeighborsDist,-1.8628217099692672,mean_absolute_error,7.180345058441162,6.399296045303345,7.180345058441162,6.399296045303345,1,True,2,1,5
KNeighborsUnif,-1.8643200015723704,mean_absolute_error,20.509480714797974,22.474422693252563,20.509480714797974,22.474422693252563,1,True,1,1,5
WeightedEnsemble_L2_FULL,,mean_absolute_error,,316.9229609966278,,1.5183475017547607,2,True,8,1,5
LightGBMXT_FULL,,mean_absolute_error,,315.40461349487305,,315.40461349487305,1,True,7,1,5
KNeighborsUnif_FULL,,mean_absolute_error,,27.526143074035645,,27.526143074035645,1,True,5,1,5
KNeighborsDist_FULL,,mean_absolute_error,,9.833112955093384,,9.833112955093384,1,True,6,1,5
LightGBMXT,-1.6615640986235405,mean_absolute_error,0.2851555347442627,233.80332803726196,0.2851555347442627,233.80332803726196,1,True,3,1,6
WeightedEnsemble_L2,-1.6615640986235405,mean_absolute_error,0.28580141067504883,236.63600063323975,0.0006458759307861328,2.832672595977783,2,True,4,1,6
KNeighborsUnif,-1.9110400006711483,mean_absolute_error,15.959483861923218,7.372570991516113,15.959483861923218,7.372570991516113,1,True,1,1,6
KNeighborsDist,-1.9281526617981959,mean_absolute_error,5.311225175857544,10.469088792800903,5.311225175857544,10.469088792800903,1,True,2,1,6
WeightedEnsemble_L2_FULL,,mean_absolute_error,,178.5178518295288,,2.832672595977783,2,True,8,1,6
LightGBMXT_FULL,,mean_absolute_error,,175.68517923355103,,175.68517923355103,1,True,7,1,6
KNeighborsUnif_FULL,,mean_absolute_error,,15.377850770950317,,15.377850770950317,1,True,5,1,6
KNeighborsDist_FULL,,mean_absolute_error,,10.602628707885742,,10.602628707885742,1,True,6,1,6
WeightedEnsemble_L2,-1.469353498092573,mean_absolute_error,0.7982556819915771,284.7276306152344,0.0007593631744384766,0.29731011390686035,2,True,5,2,1
LightGBMXT,-1.4693620791582391,mean_absolute_error,0.6241545677185059,114.73172116279602,0.6241545677185059,114.73172116279602,1,True,3,2,1
LightGBM,-1.483899901338201,mean_absolute_error,0.1733417510986328,169.6985993385315,0.1733417510986328,169.6985993385315,1,True,4,2,1
KNeighborsUnif,-1.7627200008571149,mean_absolute_error,0.46433067321777344,0.90694260597229,0.46433067321777344,0.90694260597229,1,True,1,2,1
KNeighborsDist,-1.783596239189431,mean_absolute_error,1.7507667541503906,0.8416609764099121,1.7507667541503906,0.8416609764099121,1,True,2,2,1
WeightedEnsemble_L2_FULL,,mean_absolute_error,,431.72716999053955,,0.29731011390686035,2,True,10,2,1
LightGBM_FULL,,mean_absolute_error,,218.77267217636108,,218.77267217636108,1,True,9,2,1
LightGBMXT_FULL,,mean_absolute_error,,212.6571877002716,,212.6571877002716,1,True,8,2,1
